date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:21	85489/85489	---MCZ	200	added ('OK')	text/html	etag:W/%2214df1-7XznmtiHoQ5joDQOVa6QoyCPzSw%22	https://footballpeek.com/liga/2020-2021/14	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/14.html	(from https://footballpeek.com/liga/2020-2021/13)
12:36:22	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-n+uVGU0PI6OFhdF53ySIEj27wBI%22	https://footballpeek.com/ligue-1/2020-2021/15	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/15.html	(from https://footballpeek.com/ligue-1/2020-2021/14)
12:36:23	85768/85768	---MCZ	200	added ('OK')	text/html	etag:W/%2214f08-B6PuGAjlvBrL9TWH8qIwThgSKro%22	https://footballpeek.com/serie-a/2020-2021/12	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/12.html	(from https://footballpeek.com/serie-a/2020-2021/11)
12:36:24	83702/83702	---MCZ	200	added ('OK')	text/html	etag:W/%22146f6-LNqiye0y7gUjDhyVuzWxQ840aHk%22	https://footballpeek.com/bundesliga/2020-2021/12	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/12.html	(from https://footballpeek.com/bundesliga/2020-2021/11)
12:36:25	87574/87574	---MCZ	200	added ('OK')	text/html	etag:W/%2215616-yEyEk27x7I6/XFAOdYvX8K4uY6s%22	https://footballpeek.com/premier-league/2020-2021/14	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/14.html	(from https://footballpeek.com/premier-league/2020-2021/13)
12:36:26	85489/85489	---MCZ	200	added ('OK')	text/html	etag:W/%2214df1-PuI2GT/QUZJ5Io5bnb2DUq9wFqM%22	https://footballpeek.com/liga/2020-2021/15	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/15.html	(from https://footballpeek.com/liga/2020-2021/14)
12:36:27	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-ByxgZAfQoJGjp8bQVXvbYln7QDY%22	https://footballpeek.com/ligue-1/2020-2021/16	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/16.html	(from https://footballpeek.com/ligue-1/2020-2021/15)
12:36:28	85768/85768	---MCZ	200	added ('OK')	text/html	etag:W/%2214f08-wmPxyiDWfddK0LyLHYv1b2k9SEQ%22	https://footballpeek.com/serie-a/2020-2021/13	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/13.html	(from https://footballpeek.com/serie-a/2020-2021/12)
12:36:29	83702/83702	---MCZ	200	added ('OK')	text/html	etag:W/%22146f6-TVTuWr97YBKXjACPKTkFEbJ1Tnw%22	https://footballpeek.com/bundesliga/2020-2021/13	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/13.html	(from https://footballpeek.com/bundesliga/2020-2021/12)
12:36:30	87574/87574	---MCZ	200	added ('OK')	text/html	etag:W/%2215616-GdBAv9ESos0B8pAQLDumTNXK2Fs%22	https://footballpeek.com/premier-league/2020-2021/15	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/15.html	(from https://footballpeek.com/premier-league/2020-2021/14)
12:36:31	85489/85489	---MCZ	200	added ('OK')	text/html	etag:W/%2214df1-Q1Yd8iyFGFO4N2gVQdgcKA/0gb4%22	https://footballpeek.com/liga/2020-2021/16	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/16.html	(from https://footballpeek.com/liga/2020-2021/15)
12:36:32	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-DU6yJDiydj0ScyyJqjCamwuj1L8%22	https://footballpeek.com/ligue-1/2020-2021/17	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/17.html	(from https://footballpeek.com/ligue-1/2020-2021/16)
12:36:33	85768/85768	---MCZ	200	added ('OK')	text/html	etag:W/%2214f08-L/P9AvB94O8ABu/Y3G0ZSyF2QPk%22	https://footballpeek.com/serie-a/2020-2021/14	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/14.html	(from https://footballpeek.com/serie-a/2020-2021/13)
12:36:34	83702/83702	---MCZ	200	added ('OK')	text/html	etag:W/%22146f6-IbCIi4eDD+EL9a0scQxaKcOL1xg%22	https://footballpeek.com/bundesliga/2020-2021/14	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/14.html	(from https://footballpeek.com/bundesliga/2020-2021/13)
